dataset,model,seed,split_seed,train_split,val_split,test_split,Accuracy,Statistical Parity Difference,Equal Opportunity Difference,Overall Accuracy Equality Difference,Treatment Equality Difference,diagnostics_n_test,diagnostics_n_S0,diagnostics_n_S1,diagnostics_n_pos_S0,diagnostics_n_pos_S1,diagnostics_TPR_denom_S0,diagnostics_TPR_denom_S1,diagnostics_FPR_denom_S0,diagnostics_FPR_denom_S1,diagnostics_pred_pos_overall,diagnostics_pred_pos_S0,diagnostics_pred_pos_S1,diagnostics_TPR_S0,diagnostics_TPR_S1,diagnostics_FPR_S0,diagnostics_FPR_S1
german,GIN,24,42,,,,0.4257,0.2183,0.2981,0.3242,2.5470,,,,,,,,,,,,,,,,
german,GIN,25,42,,,,0.3861,0.1283,0.1884,0.1029,2.7857,,,,,,,,,,,,,,,,
german,GIN,26,42,,,,0.3366,0.0701,0.1323,0.1545,7.2727,,,,,,,,,,,,,,,,
german,GIN,27,42,,,,0.3564,0.0830,0.1473,0.1545,5.8333,,,,,,,,,,,,,,,,
german,GIN,28,42,,,,0.3564,0.1883,0.2434,0.1545,1.7500,,,,,,,,,,,,,,,,
german,GIN,29,42,,,,0.3168,0.0000,0.0000,0.1424,0.0000,,,,,,,,,,,,,,,,
bail,GCN,0,42,,,,0.5638,0.0242,0.0146,0.4361,55.6487,,,,,,,,,,,,,,,,
bail,GCN,1,42,,,,0.5627,0.0000,0.0000,0.4403,0.0000,,,,,,,,,,,,,,,,
bail,GCN,2,42,,,,0.5627,0.0000,0.0000,0.4403,0.0000,,,,,,,,,,,,,,,,
bail,GCN,3,42,,,,0.5627,0.0000,0.0000,0.4403,0.0000,,,,,,,,,,,,,,,,
bail,GCN,4,42,,,,0.5638,0.0042,0.0059,0.4361,0.0052,,,,,,,,,,,,,,,,
bail,GCN,5,42,,,,0.5627,0.0000,0.0000,0.4403,0.0000,,,,,,,,,,,,,,,,
bail,GCN,6,42,,,,0.5643,0.0638,0.0547,0.4403,20.6423,,,,,,,,,,,,,,,,
bail,GCN,7,42,,,,0.5664,0.0496,0.0339,0.4105,232.4070,,,,,,,,,,,,,,,,
bail,GCN,8,42,,,,0.5627,0.0000,0.0000,0.4403,0.0000,,,,,,,,,,,,,,,,
bail,GCN,9,42,,,,0.5627,0.0000,0.0000,0.4403,0.0000,,,,,,,,,,,,,,,,
bail,GCN,10,42,,,,0.5627,0.0000,0.0000,0.4403,0.0000,,,,,,,,,,,,,,,,
bail,GCN,11,42,,,,0.5627,0.0000,0.0000,0.4403,0.0000,,,,,,,,,,,,,,,,
bail,GCN,12,42,,,,0.5627,0.0000,0.0000,0.4403,0.0000,,,,,,,,,,,,,,,,
bail,GCN,13,42,,,,0.5627,0.0000,0.0000,0.4403,0.0000,,,,,,,,,,,,,,,,
bail,GCN,14,42,,,,0.5633,0.0105,0.0090,0.4382,87.0892,,,,,,,,,,,,,,,,
