dataset,model,seed,split_seed,train_split,val_split,test_split,Accuracy,Statistical Parity Difference,Equal Opportunity Difference,Overall Accuracy Equality Difference,Treatment Equality Difference,diagnostics_n_test,diagnostics_n_S0,diagnostics_n_S1,diagnostics_n_pos_S0,diagnostics_n_pos_S1,diagnostics_TPR_denom_S0,diagnostics_TPR_denom_S1,diagnostics_FPR_denom_S0,diagnostics_FPR_denom_S1,diagnostics_pred_pos_overall,diagnostics_pred_pos_S0,diagnostics_pred_pos_S1,diagnostics_TPR_S0,diagnostics_TPR_S1,diagnostics_FPR_S0,diagnostics_FPR_S1
german,GAT,21,42,,,,0.2772,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,22,42,,,,0.2772,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,23,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,24,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,25,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,26,42,,,,0.2772,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,27,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,28,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GAT,29,42,,,,0.2772,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GIN,0,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GIN,1,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GIN,2,42,,,,0.7030,0.1053,0.1176,0.2228,0.0000,,,,,,,,,,,,,,,,
german,GIN,3,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GIN,4,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GIN,5,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
german,GIN,6,42,,,,0.6535,0.1579,0.1765,0.2667,2.8333,,,,,,,,,,,,,,,,
german,GIN,7,42,,,,0.7228,0.0000,0.0000,0.3281,0.0000,,,,,,,,,,,,,,,,
