dataset,model_a,model_b,metric,diff_mean,diff_std,diff_ci_low,diff_ci_high,n_seeds
bail,GAT+PFR,GCN+FAME,Accuracy,0.1038,0.1211,0.0327,0.1747,10
bail,GAT+PFR,GCN+FAME,Statistical Parity Difference,0.0063,0.0026,0.0048,0.0078,10
bail,GAT+PFR,GCN+FAME,Equal Opportunity Difference,0.0066,0.0036,0.0043,0.0086,10
bail,GAT+PFR,GCN+FAME,Overall Accuracy Equality Difference,-0.0013,0.0027,-0.0028,0.0003,10
bail,GAT+PFR,GCN+FAME,Treatment Equality Difference,127.2133,87.3037,79.2244,180.6815,10
bail,GAT+PFR,GCN+FAME+PFR,Accuracy,0.0604,0.1939,-0.0540,0.1710,11
bail,GAT+PFR,GCN+FAME+PFR,Statistical Parity Difference,0.0153,0.0236,0.0038,0.0304,11
bail,GAT+PFR,GCN+FAME+PFR,Equal Opportunity Difference,0.0176,0.0314,0.0027,0.0382,11
bail,GAT+PFR,GCN+FAME+PFR,Overall Accuracy Equality Difference,-0.0046,0.0212,-0.0179,0.0048,11
bail,GAT+PFR,GCN+FAME+PFR,Treatment Equality Difference,9.3056,21.6391,0.7403,23.4745,11
bail,GAT+PFR,GCN+PFR,Accuracy,0.1549,0.1313,0.0805,0.2273,11
bail,GAT+PFR,GCN+PFR,Statistical Parity Difference,0.0152,0.0134,0.0079,0.0224,11
bail,GAT+PFR,GCN+PFR,Equal Opportunity Difference,0.0130,0.0103,0.0074,0.0190,11
bail,GAT+PFR,GCN+PFR,Overall Accuracy Equality Difference,-0.0141,0.0214,-0.0265,-0.0033,11
bail,GAT+PFR,GCN+PFR,Treatment Equality Difference,34.1426,57.2497,9.7485,69.3498,11
bail,GAT+PFR,GIN,Accuracy,0.2055,0.2401,0.0689,0.3455,10
bail,GAT+PFR,GIN,Statistical Parity Difference,0.0438,0.0181,0.0333,0.0542,10
bail,GAT+PFR,GIN,Equal Opportunity Difference,0.0198,0.0100,0.0142,0.0258,10
bail,GAT+PFR,GIN,Overall Accuracy Equality Difference,-0.0351,0.0147,-0.0434,-0.0256,10
bail,GAT+PFR,GIN,Treatment Equality Difference,0.0194,0.0282,0.0054,0.0384,10
bail,GAT+PFR,GIN+PFR,Accuracy,0.2308,0.1922,0.1278,0.3430,11
bail,GAT+PFR,GIN+PFR,Statistical Parity Difference,0.0488,0.0221,0.0353,0.0600,11
