dataset,model,seed,Accuracy,Statistical Parity Difference,Equal Opportunity Difference,Overall Accuracy Equality Difference,Treatment Equality Difference,diagnostics_pred_pos_overall,status
bail,GIN,43,0.9195,0.0629,0.0372,0.0168,0.0364,0.3812,OK
bail,GIN,44,0.8010,0.0380,0.0125,0.0304,0.0056,0.5431,OK
bail,GIN,45,0.8285,0.0431,0.0281,0.0348,0.0126,0.5019,OK
bail,GIN,46,0.9280,0.0778,0.0418,0.0068,0.3429,0.3812,OK
bail,GIN,47,0.9232,0.0627,0.0526,0.0266,0.2751,0.3658,OK
bail,GIN,48,0.6718,0.0537,0.0139,0.0177,0.0087,0.6840,OK
bail,GIN,49,0.9010,0.0745,0.0421,0.0099,0.1539,0.4060,OK
credit,GAT,0,0.7661,0.0322,0.0293,0.0876,0.1137,0.9707,OK
credit,GAT,1,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GAT,2,0.2306,0.0132,0.0149,0.0913,0.0000,0.0120,OK
credit,GAT,3,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GAT,4,0.4508,0.1234,0.1415,0.0494,0.7633,0.3669,OK
credit,GAT,5,0.7784,0.0004,0.0005,0.1012,0.0017,0.9997,OK
credit,GAT,6,0.2213,0.0000,0.0000,0.1016,0.0000,0.0000,COLLAPSED
credit,GAT,7,0.2383,0.0223,0.0260,0.0829,0.0000,0.0203,OK
credit,GAT,8,0.5625,0.1069,0.1488,0.0915,3.3284,0.5005,OK
credit,GAT,9,0.2306,0.0132,0.0149,0.0913,0.0000,0.0120,OK
credit,GAT,10,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GAT,11,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GAT,12,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GAT,13,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GAT,14,0.7784,0.0048,0.0033,0.1012,0.0122,0.9957,OK
credit,GAT,15,0.4998,0.0066,0.0106,0.0265,1.8315,0.4598,OK
credit,GAT,16,0.2213,0.0000,0.0000,0.1016,0.0000,0.0000,COLLAPSED
credit,GAT,17,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GAT,18,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GAT,19,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GAT,20,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GAT,21,0.7754,0.0030,0.0061,0.1060,0.0062,0.9953,OK
credit,GAT,22,0.7204,0.0566,0.0621,0.0537,0.2988,0.9190,OK
credit,GAT,23,0.7541,0.0298,0.0275,0.0826,0.1581,0.9434,OK
credit,GAT,24,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GAT,25,0.2379,0.0281,0.0314,0.0792,18.5000,0.0367,OK
credit,GAT,26,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GAT,27,0.2213,0.0000,0.0000,0.1016,0.0000,0.0000,COLLAPSED
credit,GAT,28,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GAT,29,0.2263,0.0094,0.0114,0.0920,13.2500,0.0197,OK
credit,GAT,31,0.3062,0.0877,0.0847,0.0406,10.0378,0.1536,OK
credit,GAT,32,0.7784,0.0070,0.0049,0.1012,0.0102,0.9990,OK
credit,GAT,33,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GAT,34,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GAT,35,0.3962,0.0592,0.0821,0.0177,2.4304,0.3196,OK
credit,GAT,36,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GAT,37,0.6471,0.1042,0.1407,0.0553,2.0042,0.6285,OK
credit,GAT,38,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GAT,39,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GAT,40,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GAT,41,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GAT,42,0.2213,0.0000,0.0000,0.1016,0.0000,0.0000,COLLAPSED
credit,GAT,43,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GAT,44,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GAT,45,0.4825,0.1615,0.1744,0.0599,1.2513,0.3572,OK
credit,GAT,46,0.7781,0.0037,0.0028,0.1008,0.0104,0.9967,OK
credit,GAT,47,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GAT,48,0.2589,0.1092,0.0841,0.0845,8.7935,0.1516,OK
credit,GAT,49,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GAT,50,0.3012,0.0484,0.0701,0.0177,3.6338,0.1879,OK
credit,GCN,0,0.7727,0.0068,0.0039,0.0990,0.0416,0.9753,OK
credit,GCN,1,0.7488,0.0340,0.0393,0.0727,0.1561,0.9653,OK
credit,GCN,2,0.7727,0.0082,0.0031,0.0950,0.0126,0.9853,OK
credit,GCN,3,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GCN,4,0.4845,0.1043,0.1181,0.0458,1.1932,0.4085,OK
credit,GCN,5,0.7784,0.0070,0.0049,0.1012,0.0102,0.9990,OK
credit,GCN,6,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GCN,7,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GCN,8,0.7781,0.0044,0.0033,0.1008,0.0122,0.9960,OK
credit,GCN,9,0.7291,0.0142,0.0173,0.0754,0.1729,0.9244,OK
credit,GCN,10,0.7601,0.0212,0.0199,0.0892,0.0929,0.9733,OK
credit,GCN,11,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GCN,12,0.5681,0.3072,0.2868,0.1053,6.0668,0.5415,OK
credit,GCN,13,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GCN,14,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GCN,15,0.7787,0.0033,0.0005,0.0975,0.0017,0.9993,OK
credit,GCN,16,0.7378,0.0828,0.0837,0.0525,0.3442,0.9210,OK
credit,GCN,17,0.7304,0.0404,0.0508,0.0566,0.2399,0.9337,OK
credit,GCN,18,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GCN,19,0.7784,0.0070,0.0049,0.1012,0.0102,0.9990,OK
credit,GCN,20,0.7751,0.0133,0.0047,0.0935,0.0019,0.9937,OK
credit,GCN,21,0.7521,0.1776,0.1244,0.0763,0.4484,0.8700,OK
credit,GCN,22,0.7734,0.0033,0.0025,0.0998,0.0177,0.9933,OK
credit,GCN,23,0.7781,0.0140,0.0098,0.1008,0.0206,0.9980,OK
credit,GCN,24,0.7564,0.0244,0.0290,0.0770,0.1401,0.9557,OK
credit,GCN,25,0.7791,0.0103,0.0049,0.0979,0.0103,0.9983,OK
credit,GCN,26,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GCN,27,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GCN,28,0.6001,0.0001,0.0215,0.0055,1.3434,0.5868,OK
credit,GCN,29,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GCN,31,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GCN,32,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GCN,33,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GCN,34,0.7771,0.0062,0.0051,0.0997,0.0192,0.9943,OK
credit,GCN,35,0.7537,0.0075,0.0143,0.0822,0.0857,0.9710,OK
credit,GCN,36,0.6485,0.2375,0.1817,0.0598,1.5608,0.6958,OK
credit,GCN,37,0.7687,0.0125,0.0149,0.0906,0.0555,0.9887,OK
credit,GCN,38,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GCN,39,0.7784,0.0018,0.0014,0.1012,0.0052,0.9983,OK
credit,GCN,40,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GCN,41,0.7717,0.0212,0.0209,0.0898,0.0809,0.9770,OK
credit,GCN,42,0.7581,0.0219,0.0276,0.0789,0.1127,0.9727,OK
credit,GCN,43,0.7414,0.0160,0.0040,0.0970,0.1435,0.9227,OK
credit,GCN,44,0.7567,0.0182,0.0197,0.0855,0.1003,0.9687,OK
credit,GCN,45,0.7094,0.0363,0.0373,0.0659,0.2479,0.9154,OK
credit,GCN,46,0.7767,0.0001,0.0052,0.1075,0.0025,0.9927,OK
credit,GCN,47,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GCN,48,0.7787,0.0033,0.0005,0.0975,0.0017,0.9993,OK
credit,GCN,49,0.7757,0.0048,0.0051,0.0983,0.0191,0.9957,OK
credit,GCN,50,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,0,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,1,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,2,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,3,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,4,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,5,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,6,0.7787,0.0007,0.0005,0.1016,0.0017,0.9993,OK
credit,GIN,7,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,8,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,9,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,10,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,11,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,12,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,13,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,14,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,15,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,16,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,17,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,18,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,19,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,20,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,21,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,22,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,23,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,24,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,25,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,26,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,27,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,28,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,29,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,30,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,31,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,32,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,33,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,34,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,35,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,36,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,37,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,38,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,39,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,40,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,41,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,42,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,43,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,44,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,45,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,46,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,47,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,48,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
credit,GIN,49,0.7787,0.0000,0.0000,0.1016,0.0000,1.0000,COLLAPSED
german,GAT,0,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GAT,1,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GAT,2,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,3,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,4,0.7228,0.0000,0.0000,0.0340,0.0000,1.0000,COLLAPSED
german,GAT,5,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GAT,6,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
german,GAT,7,0.2772,0.0000,0.0000,0.0340,0.0000,0.0000,COLLAPSED
